"Size of n","Time","Operation"
"0","0.000001192092896","insert"
"0","0.000001192092896","delete"
"0","0.000000953674316","access"
"10","0.000002145767212","insert"
"10","0.000002145767212","delete"
"10","0.000004768371582","access"
"20","0.000002145767212","insert"
"20","0.000001192092896","delete"
"20","0.000002145767212","access"
"30","0.000001192092896","insert"
"30","0.000000953674316","delete"
"30","0.000002145767212","access"
"40","0.000000953674316","insert"
"40","0.000000953674316","delete"
"40","0.000003099441528","access"
"50","0.000001192092896","insert"
"50","0.000000953674316","delete"
"50","0.000003099441528","access"
"60","0.000000953674316","insert"
"60","0.000002145767212","delete"
"60","0.000003814697266","access"
"70","0.000000953674316","insert"
"70","0.000001907348633","delete"
"70","0.000004053115845","access"
"80","0.000001192092896","insert"
"80","0.000001192092896","delete"
"80","0.000004291534424","access"
"90","0.000000953674316","insert"
"90","0.000000953674316","delete"
"90","0.000005245208740","access"
"100","0.000000000000000","insert"
"100","0.000000000000000","delete"
"100","0.000008106231689","access"
"110","0.000000953674316","insert"
"110","0.000001192092896","delete"
"110","0.000010251998901","access"
"120","0.000001192092896","insert"
"120","0.000001192092896","delete"
"120","0.000010967254639","access"
"130","0.000001192092896","insert"
"130","0.000000715255737","delete"
"130","0.000006914138794","access"
"140","0.000000953674316","insert"
"140","0.000001192092896","delete"
"140","0.000007867813110","access"
"150","0.000000000000000","insert"
"150","0.000000953674316","delete"
"150","0.000008821487427","access"
"160","0.000000715255737","insert"
"160","0.000000953674316","delete"
"160","0.000008106231689","access"
"170","0.000000953674316","insert"
"170","0.000000953674316","delete"
"170","0.000015258789062","access"
"180","0.000000953674316","insert"
"180","0.000001907348633","delete"
"180","0.000010013580322","access"
"190","0.000000953674316","insert"
"190","0.000001192092896","delete"
"190","0.000010013580322","access"
"200","0.000000953674316","insert"
"200","0.000001192092896","delete"
"200","0.000010967254639","access"
"210","0.000000953674316","insert"
"210","0.000000953674316","delete"
"210","0.000012159347534","access"
"220","0.000000953674316","insert"
"220","0.000000953674316","delete"
"220","0.000025033950806","access"
"230","0.000000953674316","insert"
"230","0.000000953674316","delete"
"230","0.000021934509277","access"
"240","0.000000953674316","insert"
"240","0.000000953674316","delete"
"240","0.000013113021851","access"
"250","0.000000953674316","insert"
"250","0.000001192092896","delete"
"250","0.000023841857910","access"
"260","0.000000953674316","insert"
"260","0.000000953674316","delete"
"260","0.000015974044800","access"
"270","0.000000953674316","insert"
"270","0.000000953674316","delete"
"270","0.000030040740967","access"
"280","0.000000953674316","insert"
"280","0.000005006790161","delete"
"280","0.000031948089600","access"
"290","0.000000953674316","insert"
"290","0.000000953674316","delete"
"290","0.000019073486328","access"
"300","0.000000715255737","insert"
"300","0.000000000000000","delete"
"300","0.000020027160645","access"
"310","0.000000000000000","insert"
"310","0.000000953674316","delete"
"310","0.000019788742065","access"
"320","0.000000000000000","insert"
"320","0.000000953674316","delete"
"320","0.000020980834961","access"
"330","0.000000953674316","insert"
"330","0.000000953674316","delete"
"330","0.000031948089600","access"
"340","0.000000953674316","insert"
"340","0.000000953674316","delete"
"340","0.000043153762817","access"
"350","0.000000715255737","insert"
"350","0.000000000000000","delete"
"350","0.000024080276489","access"
"360","0.000000953674316","insert"
"360","0.000001192092896","delete"
"360","0.000024080276489","access"
"370","0.000000953674316","insert"
"370","0.000000953674316","delete"
"370","0.000025033950806","access"
"380","0.000001192092896","insert"
"380","0.000000000000000","delete"
"380","0.000026226043701","access"
"390","0.000000953674316","insert"
"390","0.000000953674316","delete"
"390","0.000028848648071","access"
"400","0.000002145767212","insert"
"400","0.000000953674316","delete"
"400","0.000029087066650","access"
"410","0.000000953674316","insert"
"410","0.000000953674316","delete"
"410","0.000053882598877","access"
"420","0.000000953674316","insert"
"420","0.000000000000000","delete"
"420","0.000030040740967","access"
"430","0.000000715255737","insert"
"430","0.000000953674316","delete"
"430","0.000046014785767","access"
"440","0.000001192092896","insert"
"440","0.000000953674316","delete"
"440","0.000087022781372","access"
"450","0.000000953674316","insert"
"450","0.000001192092896","delete"
"450","0.000037193298340","access"
"460","0.000000953674316","insert"
"460","0.000000953674316","delete"
"460","0.000033140182495","access"
"470","0.000001192092896","insert"
"470","0.000000953674316","delete"
"470","0.000034093856812","access"
"480","0.000001192092896","insert"
"480","0.000000000000000","delete"
"480","0.000056982040405","access"
"490","0.000000953674316","insert"
"490","0.000000953674316","delete"
"490","0.000035047531128","access"
"500","0.000000953674316","insert"
"500","0.000000000000000","delete"
"500","0.000036001205444","access"
"510","0.000000000000000","insert"
"510","0.000000953674316","delete"
"510","0.000034093856812","access"
"520","0.000001192092896","insert"
"520","0.000001192092896","delete"
"520","0.000035047531128","access"
"530","0.000000000000000","insert"
"530","0.000000953674316","delete"
"530","0.000038146972656","access"
"540","0.000000000000000","insert"
"540","0.000001192092896","delete"
"540","0.000037193298340","access"
"550","0.000001192092896","insert"
"550","0.000000953674316","delete"
"550","0.000038146972656","access"
"560","0.000000000000000","insert"
"560","0.000000953674316","delete"
"560","0.000039339065552","access"
"570","0.000000953674316","insert"
"570","0.000000000000000","delete"
"570","0.000037908554077","access"
"580","0.000000000000000","insert"
"580","0.000000953674316","delete"
"580","0.000040054321289","access"
"590","0.000000000000000","insert"
